%time Wind Power_wind
634 10.8043801 51493.8026653
635 10.8043801 51493.8026653
636 10.8043801 51493.8026653
637 10.8043801 51493.8026653
638 10.8043801 51493.8026653
639 10.8043801 51493.8026653
640 10.8043801 51493.8026653
641 10.8043801 51493.8026653
642 10.8043801 51493.8026653
643 10.8043801 51493.8026653
644 10.8043801 51493.8026653
645 10.8043801 51493.8026653
646 10.8043801 51493.8026653
647 10.8043801 51493.8026653
648 10.8043801 51493.8026653
649 10.8043801 51493.8026653
650 10.8043801 51493.8026653
651 10.8043801 51493.8026653
652 10.8043801 51493.8026653
653 10.8043801 51493.8026653
654 10.8043801 51493.8026653
655 10.8043801 51493.8026653
656 10.8043801 51493.8026653
657 10.8043801 51493.8026653
658 10.8043801 51493.8026653
659 10.8043801 51493.8026653
660 10.8043801 51493.8026653
661 10.8043801 51493.8026653
662 10.8043801 51493.8026653
663 10.8043801 51493.8026653
664 10.8043801 51493.8026653
665 10.8043801 51493.8026653
666 10.8043801 51493.8026653
667 10.8043801 51493.8026653
668 10.8043801 51493.8026653
669 10.8043801 51493.8026653
670 10.8043801 51493.8026653
671 10.8043801 51493.8026653
672 10.8043801 51493.8026653
673 10.8043801 51493.8026653
674 10.8043801 51493.8026653
675 10.8043801 51493.8026653
676 10.8043801 51493.8026653
677 10.8043801 51493.8026653
678 10.8043801 51493.8026653
679 10.8043801 51493.8026653
680 10.8043801 51493.8026653
681 10.8043801 51493.8026653
682 10.8043801 51493.8026653
683 10.8043801 51493.8026653
684 10.8043801 51493.8026653
685 10.8043801 51493.8026653
686 10.8043801 51493.8026653
687 10.8043801 51493.8026653
688 10.8043801 51493.8026653
689 10.8043801 51493.8026653
690 10.8043801 51493.8026653
691 10.8043801 51493.8026653
692 10.8043801 51493.8026653
693 10.8043801 51493.8026653
694 10.8043801 51493.8026653
695 10.8043801 51493.8026653
696 10.8043801 51493.8026653
697 10.8043801 51493.8026653
698 10.8043801 51493.8026653
699 10.8043801 51493.8026653
700 10.8043801 51493.8026653
701 10.8043801 51493.8026653
702 10.8043801 51493.8026653
703 10.8043801 51493.8026653
704 10.8043801 51493.8026653
705 10.8043801 51493.8026653
706 10.8043801 51493.8026653
707 10.8043801 51493.8026653
708 10.8043801 51493.8026653
709 10.8043801 51493.8026653
710 10.8043801 51493.8026653
711 10.8043801 51493.8026653
712 10.8043801 51493.8026653
713 10.8043801 51493.8026653
714 10.8043801 51493.8026653
715 10.8043801 51493.8026653
716 10.8043801 51493.8026653
717 10.8043801 51493.8026653
718 10.8043801 51493.8026653
719 10.8043801 51493.8026653
720 10.8043801 51493.8026653
721 10.8043801 51493.8026653
722 10.8043801 51493.8026653
723 10.8043801 51493.8026653
724 10.8043801 51493.8026653
725 10.8043801 51493.8026653
726 10.8043801 51493.8026653
727 10.8043801 51493.8026653
728 10.8043801 51493.8026653
729 10.8043801 51493.8026653
730 10.8043801 51493.8026653
731 10.8043801 51493.8026653
732 10.8043801 51493.8026653
733 10.8043801 51493.8026653
734 10.8043801 51493.8026653
735 10.8043801 51493.8026653
736 10.8043801 51493.8026653
737 10.8043801 51493.8026653
738 10.8043801 51493.8026653
739 10.8043801 51493.8026653
740 10.8043801 51493.8026653
741 10.8043801 51493.8026653
742 10.8043801 51493.8026653
743 10.8043801 51493.8026653
744 10.8043801 51493.8026653
745 10.8043801 51493.8026653
746 10.8043801 51493.8026653
747 10.8043801 51493.8026653
748 10.8043801 51493.8026653
749 10.8043801 51493.8026653
750 10.8043801 51493.8026653
751 10.8043801 51493.8026653
752 10.8043801 51493.8026653
753 10.8043801 51493.8026653
754 10.8043801 51493.8026653
755 10.8043801 51493.8026653
756 10.8043801 51493.8026653
757 10.8043801 51493.8026653
758 10.8043801 51493.8026653
759 10.8043801 51493.8026653
760 10.8043801 51493.8026653
761 10.8043801 51493.8026653
762 10.8043801 51493.8026653
763 10.8043801 51493.8026653
764 10.8043801 51493.8026653
765 10.8043801 51493.8026653
766 10.8043801 51493.8026653
767 10.8043801 51493.8026653
768 10.8043801 51493.8026653
769 10.8043801 51493.8026653
770 10.8043801 51493.8026653
771 10.8043801 51493.8026653
772 10.8043801 51493.8026653
773 10.8043801 51493.8026653
774 10.8043801 51493.8026653
775 10.8043801 51493.8026653
776 10.8043801 51493.8026653
777 10.8043801 51493.8026653
778 10.8043801 51493.8026653
779 10.8043801 51493.8026653
780 10.8043801 51493.8026653
781 10.8043801 51493.8026653
782 10.8043801 51493.8026653
783 10.8043801 51493.8026653
784 10.8043801 51493.8026653
785 10.8043801 51493.8026653
786 10.8043801 51493.8026653
787 10.8043801 51493.8026653
788 10.8043801 51493.8026653
789 10.8043801 51493.8026653
790 10.8043801 51493.8026653
791 10.8043801 51493.8026653
792 10.8043801 51493.8026653
793 10.8043801 51493.8026653
794 10.8043801 51493.8026653
795 10.8043801 51493.8026653
