Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
2	2336	2772	3026
2	2336	2772	3026
2	2336	2772	3026
2	2338	2772	3026
2	2338	2772	3026
2	2338	2772	3026
2	2338	2772	3026
2	2338	2772	3026
762	2338	2772	3026
762	2338	2772	3026
762	2338	2768	3026
1280	2338	2768	3022
1280	2338	2768	3022
1280	2338	2768	3022
1280	2338	2768	3022
1276	2338	2768	3022
1276	2338	2768	3016
1276	2338	2768	3016
1276	2336	2768	3016
1276	2336	2768	3016
1274	2336	2770	3016
1274	2336	2770	3012
1274	2336	2770	3012
1274	4	2770	3012
1274	4	2770	3012
2	4	2754	3012
2	4	2754	3014
2	1036	2754	3014
2	1036	2754	3014
2	2346	2754	3014
2	2346	2754	3014
2	2346	2754	3014
2	2346	2754	3014
2	2346	2754	3014
2	2338	2754	3014
2	2338	2756	3014
2	2338	2756	3014
2	2338	2756	3014
1290	2338	2756	3014
1290	2336	2756	3014
1290	2336	3252	3014
1290	2336	3252	40
1290	2336	3252	40
1276	2336	3252	40
1276	2336	1374	40
1276	2336	1374	40
1276	2336	1374	40
1276	2336	2764	40
2	2336	2764	40
2	2336	2764	1688
2	2336	2764	1688
1288	2336	2764	3030
1288	2336	2762	3030
1288	2336	2762	3030
1288	2336	2762	3030
1288	2336	2762	3030
712	2334	2762	3030
712	2334	2762	3032
712	2334	2762	3032
712	2334	2762	3032
820	2334	2762	3032
820	2332	2762	3032
1278	2332	2762	3024
1278	2332	2762	3024
1278	2332	2762	3024
1278	2332	2762	3024
1278	4	2762	3024
2	4	2760	3018
2	4	2760	3018
2	4	2760	3018
2	2086	2760	3018
1216	2086	2760	3018
1216	2086	2772	3016
1216	2338	2772	3016
1216	2338	2772	3016
1216	2338	2772	3016
1276	2338	2772	3016
1276	2338	2772	3012
1276	2336	2772	3012
1276	2336	2772	3012
1276	2336	2772	3012
2	2336	2772	3012
2	2336	2772	3012
1290	2334	2772	3012
1290	2334	2772	3012
1290	2334	2772	3012
1290	2334	2772	3012
1290	2334	2772	2990
996	2334	2772	2990
996	2334	2772	2990
2	2334	2772	2990
2	2334	2772	2990
2	2334	2772	2990
2	2334	2772	2990
2	2334	2802	2990
1286	2334	2802	2990
1286	2334	2802	2990
1286	2334	2802	2988
1286	2334	2802	2988
1286	2334	2802	2988
770	2334	1628	2988
770	2334	1628	2988
770	2334	3296	2988
770	656	3296	2988
770	656	3296	38
308	656	3296	38
308	656	2816	38
308	656	2816	38
1278	278	2816	38
1278	278	2816	1652
1278	2346	2816	1652
1278	2346	2812	3010
1278	2346	2812	3010
2	2346	2812	3010
2	2346	2812	3010
362	2334	2812	3010
362	2334	2810	3010
1280	2334	2810	3002
1280	2334	2810	3002
1280	2334	2810	3002
1280	2336	2810	3002
1280	2336	2810	3002
2	2336	2804	2998
2	2336	2804	2998
772	2336	2804	2998
772	2332	2804	2998
1278	2332	2794	2998
1278	2332	2794	2996
1278	2332	2794	2996
1278	2332	2794	2996
1278	2332	2794	2996
2	2332	2794	2996
2	2332	2794	2992
2	2332	2794	2992
2	2332	2794	2992
1278	2332	2794	2992
1278	2332	2790	2992
1278	2332	2790	2990
