Regular (W)	PermPress (W)	Delicates (W)
7.5	8.3	7.5
125.3	8.2	7.5
125.3	8.2	7.4
104.8	8.1	7.4
89.1	8.1	62.1
109.9	8	62.1
99.2	89.3	316
94.3	123.5	316
94.9	100.8	313
82.8	134.3	313
89.2	86.1	8
103.6	117.5	8
85.5	121	7.6
96.2	114	7.6
96.7	19.6	7.5
91.4	9.2	7.5
88.6	8.2	7.5
86	8.1	7.5
15.6	8	15.6
9.8	8	15.6
7.7	8	308
7.6	8	308
7.6	82.9	19.8
7.6	113.8	19.8
7.6	113.8	7.9
7.6	123.2	7.9
7.4	134.8	7.6
7.5	102.9	7.6
7.5	94.9	7.5
99	100.6	7.5
88.7	13.8	7.5
78.1	8.7	7.5
94.7	8.2	7.5
89.5	8.1	7.5
80	8.1	311
94.2	8.1	311
95.8	8	20.7
108.9	8	20.7
96.2	115.2	7.9
103.9	127	7.9
108.2	106	7.6
89.8	92	7.6
99.8	111	7.5
100	113.4	7.5
103.3	116.6	7.4
103.3	110.1	7.4
23.6	11.5	7.4
9	8.3	7.4
7.7	8.1	330
7.7	8.1	330
7.6	8	14.8
7.6	8	14.8
7.5	7.8	7.8
7.6	7.9	7.8
7.5	134.5	7.5
7.5	118.3	7.5
156.1	121.7	7.5
122.8	123.8	7.5
122.8	123.8	7.4
93.1	120.2	7.4
77.5	124.8	407
89.6	33.5	407
91.1	15.2	301
90.4	13.7	301
73.6	13.5	11.4
94.6	9.1	11.4
92	9.1	7.7
93.4	8.2	7.7
86.4	8.1	7.6
95.4	87.4	7.6
96.1	110.9	7.5
90.2	152.9	7.5
87.8	125.3	7.4
90.5	94.5	7.4
16.2	108	313
10.1	124.7	313
7.8	116.7	281
7.7	53.8	281
7.6	9.4	9.9
7.6	9.4	9.9
7.6	8.2	7.8
7.6	8.2	7.8
7.5	8.2	7.6
7.5	8.2	7.6
154.1	8.1	7.6
118.9	96.5	7.6
97.3	109.4	7.4
94.5	121.3	7.4
94.5	121.3	7.4
94.2	121.3	7.4
87.5	96.5	298
87.1	103.6	298
95.4	114.2	9.2
99.4	114.2	9.2
99.5	8.9	7.7
85.8	8.4	7.7
88.2	8.2	7.6
92.8	8.2	7.6
103.9	8.2	7.5
89.3	8.2	7.5
87.5	8.1	7.5
53.9	12.6	7.5
10.8	120.4	350
69.2	129.1	350
70.6	109.1	94
69.7	115.2	94
69.5	105.6	8.5
