Regular (kW)	PermPress (kW)	Delicates (kW)
0.51	0.512	0.456
0.51	0.512	0.456
0.51	0.512	0.456
0.51	0.512	0.456
0.51	0.512	0.456
0.516	0.512	0.456
0.516	0.512	0.456
0.516	0.512	0.456
0.516	0.512	0.456
0.516	0.512	0.456
0.514	0.506	0.456
0.514	0.506	0.456
0.514	0.506	0.456
0.514	0.506	0.456
0.514	0.506	0.456
0.514	0.512	0.456
0.514	0.512	0.456
0.514	0.512	0.456
0.514	0.512	0.456
0.514	0.512	0.456
0.512	0.514	0.002
0.512	0.514	0.002
0.512	0.514	0.002
0.512	0.514	0.636
0.512	0.514	0.636
0.51	0.51	0.664
0.51	0.51	0.664
0.51	0.51	0.664
0.51	0.51	0.664
0.51	0.51	0.664
0.504	0.51	0.524
0.504	0.51	0.524
0.504	0.51	0.524
0.504	0.51	0.524
0.504	0.51	0.524
0.51	0.512	0.516
0.51	0.512	0.516
0.51	0.512	0.516
0.51	0.512	0.516
0.51	0.512	0.516
0.514	0.512	0.514
0.514	0.514	0.514
0.514	0.514	0.514
0.514	0.514	0.514
0.514	0.514	0.514
0.51	0.51	0.514
0.51	0.51	0.514
0.51	0.51	0.514
0.51	0.51	0.514
0.51	0.51	0.514
0.506	0.512	0.514
0.506	0.512	0.514
0.506	0.512	0.514
0.506	0.512	0.514
0.506	0.512	0.514
0.506	0.002	0.516
0.506	0.002	0.516
0.506	0.002	0.516
0.506	0.226	0.516
0.506	0.226	0.516
0.516	0.484	0.514
0.516	0.484	0.514
0.516	0.484	0.514
0.516	0.484	0.514
0.516	0.484	0.514
0.002	0.482	0.516
0.002	0.482	0.516
0.794	0.482	0.516
0.794	0.482	0.516
0.794	0.482	0.516
0.794	0.482	0.532
0.794	0.482	0.532
0.486	0.482	0.532
0.486	0.482	0.532
0.486	0.482	0.532
0.486	0.484	0.518
0.486	0.484	0.518
0.486	0.484	0.518
0.486	0.484	0.518
0.486	0.484	0.518
0.486	0.488	0.524
0.486	0.488	0.524
0.486	0.488	0.524
0.486	0.488	0.524
0.486	0.488	0.524
0.486	0.002	0.524
0.486	0.002	0.524
0.486	0.002	0.524
0.486	0.002	0.524
0.488	0.002	0.524
0.488	0.002	0.51
0.488	0.002	0.51
0.488	0.002	0.51
0.488	0.002	0.51
0.488	0.002	0.51
0.488	0.002	0.53
0.488	0.002	0.53
0.488	0.002	0.53
0.488	0.002	0.53
0.486	0.002	0.53
0.486	0.002	0.516
0.486	0.002	0.516
0.486	0.002	0.516
0.486	0.002	0.516
0.486	0.002	0.516
0.486	0.002	0.514
0.486	0.002	0.514
0.486	0.002	0.514
0.486	0.002	0.514
0.486	0.002	0.514
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.486	0.002	0.51
0.484	0.002	0.51
0.484	0.002	0.512
0.484	0.002	0.512
0.484	0.002	0.512
0.484	0.002	0.512
0.442	0.002	0.512
0.442	0.002	0.51
0.442	0.002	0.51
0.442	0.002	0.51
0.442	0.002	0.51
0.442	0.002	0.51
0.442	0.002	0.512
0.442	0.002	0.512
0.442	0.002	0.512
0.442	0.002	0.512
0.438	0.002	0.512
0.438	0.002	0.512
0.438	0.002	0.512
0.438	0.002	0.512
0.438	0.002	0.512
0.43	0.002	0.512
0.43	0.002	0.002
0.43	0.002	0.002
0.43	0.002	0.002
0.43	0.002	0.002
0.43	0.002	0.002
0.43	0.002	0.004
0.43	0.002	0.004
0.43	0.002	0.004
0.43	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.004
0.432	0.002	0.006
0.432	0.002	0.006
0.432	0.002	0.006
0.432	0.002	0.006
0.436	0.002	0.006
0.436	0.002	0.006
0.436	0.002	0.006
0.436	0.002	0.006
0.436	0.002	0.006
0.438	0.002	0.006
0.438	0.002	0.004
0.438	0.002	0.004
0.438	0.002	0.004
0.438	0.002	0.004
0.438	0.002	0.004
0.438	0.002	0.006
0.438	0.002	0.006
0.438	0.002	0.006
0.438	0.002	0.006
0.436	0.002	0.006
0.436	0.002	0.004
0.436	0.002	0.004
0.436	0.002	0.004
0.436	0.002	0.004
0.438	0.002	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.006
0.44	0.004	0.006
0.44	0.004	0.006
0.44	0.004	0.006
0.438	0.004	0.006
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.438	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.004	0.004
0.44	0.748	0.004
0.44	0.748	0.004
0.44	0.748	0.004
0.44	0.748	0.004
0.44	0.748	0.004
0.44	0.51	0.004
0.44	0.51	0.004
0.442	0.51	0.004
0.442	0.51	0.004
0.442	0.51	0.004
0.442	0.506	0.004
0.442	0.506	0.004
0.442	0.506	0.004
0.442	0.506	0.522
0.442	0.506	0.522
0.442	0.506	0.522
0.442	0.506	0.522
0.442	0.506	0.522
0.442	0.506	0.5
0.442	0.506	0.5
0.442	0.508	0.5
0.442	0.508	0.5
0.44	0.508	0.5
0.44	0.508	0.51
0.44	0.508	0.51
0.44	0.51	0.51
0.44	0.51	0.51
0.444	0.51	0.51
0.444	0.51	0.508
0.444	0.516	0.508
0.444	0.516	0.508
0.444	0.516	0.508
0.444	0.516	0.508
0.444	0.516	0.51
0.444	0.514	0.51
0.444	0.514	0.51
0.444	0.514	0.51
0.442	0.514	0.51
0.442	0.514	0.51
0.442	0.516	0.51
0.442	0.516	0.51
0.442	0.516	0.51
0.444	0.516	0.51
0.444	0.516	0.512
0.444	0.516	0.512
0.444	0.516	0.512
0.444	0.516	0.512
0.444	0.516	0.512
0.444	0.516	0.51
0.444	0.516	0.51
0.444	0.516	0.51
0.444	0.516	0.51
0.444	0.516	0.51
0.444	0.516	0.514
0.444	0.518	0.514
0.444	0.518	0.514
0.444	0.518	0.514
0.444	0.518	0.514
0.444	0.518	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.518	0.508
0.444	0.518	0.508
0.444	0.518	0.508
0.444	0.518	0.508
0.444	0.518	0.504
0.444	0.518	0.504
0.444	0.518	0.504
0.444	0.518	0.504
0.444	0.518	0.504
0.444	0.518	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.514	0.508
0.444	0.51	0.508
0.444	0.51	0.508
0.444	0.51	0.508
0.442	0.51	0.508
0.442	0.51	0.508
0.442	0.508	0.508
0.442	0.508	0.508
0.442	0.508	0.508
0.002	0.508	0.508
0.002	0.508	0.506
0.528	0.508	0.506
0.528	0.508	0.506
0.69	0.508	0.506
0.69	0.508	0.506
0.69	0.508	0.508
0.69	0.51	0.508
0.69	0.51	0.508
0.684	0.51	0.508
0.684	0.51	0.508
0.684	0.51	0.512
0.684	0.514	0.512
0.684	0.514	0.512
0.684	0.514	0.512
0.632	0.514	0.512
0.632	0.514	0.506
0.632	0.512	0.506
0.632	0.512	0.506
0.632	0.512	0.506
0.53	0.512	0.506
0.53	0.512	0.508
0.53	0.512	0.508
0.53	0.512	0.508
0.53	0.512	0.508
0.52	0.512	0.508
0.52	0.512	0.51
0.52	0.51	0.51
0.52	0.51	0.51
0.52	0.51	0.51
0.522	0.51	0.51
0.522	0.51	0.506
0.522	0.002	0.506
0.522	0.002	0.506
0.522	0.002	0.506
0.522	0.002	0.506
0.522	0.48	0.506
0.522	0.48	0.506
0.522	0.48	0.506
0.522	0.48	0.506
0.522	0.48	0.512
0.522	0.478	0.512
0.522	0.478	0.512
0.522	0.478	0.512
0.522	0.478	0.512
0.522	0.478	0.002
0.522	0.478	0.002
0.552	0.478	0.5
0.552	0.478	0.5
0.552	0.478	0.5
0.552	0.478	0.5
0.552	0.48	0.5
0.562	0.48	0.496
0.562	0.48	0.496
0.562	0.48	0.496
0.562	0.48	0.496
0.562	0.478	0.496
0.534	0.478	0.498
0.534	0.478	0.498
0.57	0.478	0.498
0.57	0.478	0.498
0.57	0.48	0.498
0.57	0.48	0.498
0.57	0.48	0.498
0.57	0.48	0.498
0.57	0.48	0.498
0.57	0.48	0.498
0.57	0.48	0.494
0.57	0.48	0.494
0.54	0.48	0.494
0.54	0.48	0.494
0.566	0.48	0.494
0.566	0.48	0.496
0.566	0.48	0.496
0.566	0.48	0.496
0.566	0.48	0.496
0.558	0.476	0.496
0.558	0.476	0.496
0.558	0.476	0.496
0.558	0.476	0.496
0.558	0.476	0.496
0.546	0.45	0.496
0.546	0.45	0.496
0.546	0.45	0.496
0.546	0.45	0.496
0.546	0.45	0.496
0.538	0.438	0.496
0.538	0.438	0.46
0.538	0.438	0.46
0.538	0.438	0.46
0.538	0.438	0.46
0.532	0.442	0.46
0.532	0.442	0.452
0.532	0.442	0.452
0.532	0.442	0.452
0.532	0.442	0.452
0.534	0.448	0.452
0.534	0.448	0.444
0.534	0.448	0.444
0.534	0.448	0.444
0.534	0.448	0.444
0.532	0.446	0.444
0.532	0.446	0.45
0.532	0.446	0.45
0.532	0.446	0.45
0.532	0.446	0.45
0.532	0.444	0.45
0.532	0.444	0.454
0.532	0.444	0.454
0.532	0.444	0.454
0.532	0.444	0.454
0.53	0.444	0.454
0.53	0.444	0.452
0.53	0.444	0.452
0.53	0.444	0.452
0.53	0.444	0.452
0.53	0.446	0.452
0.53	0.446	0.444
0.53	0.446	0.444
0.53	0.446	0.444
0.53	0.446	0.444
0.008	0.446	0.444
0.008	0.446	0.452
0.008	0.446	0.452
0.008	0.446	0.452
0.008	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.452
0.004	0.446	0.446
0.004	0.446	0.446
0.004	0.446	0.446
0.004	0.446	0.446
0.006	0.438	0.446
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.004	0.438	0.452
0.004	0.438	0.452
0.004	0.438	0.452
0.004	0.438	0.452
0.004	0.438	0.452
