Regular (kW)	PermPress (kW)	Timed (kW)
2.884	2.988	2.964
2.884	2.988	2.964
2.884	2.988	2.96
2.884	2.988	2.96
2.884	2.988	2.96
2.884	2.988	2.96
2.884	2.988	2.96
2.884	2.978	2.954
2.884	2.978	2.954
2.882	2.978	2.954
2.882	2.978	2.954
2.882	2.978	2.954
2.882	2.986	2.954
2.882	2.986	2.954
2.884	2.986	2.946
2.884	2.986	2.946
2.884	2.986	2.946
2.884	2.99	2.946
2.884	2.99	2.948
2.886	2.99	2.948
2.886	2.99	2.948
2.886	2.99	2.948
2.886	2.986	2.948
2.886	2.986	2.958
2.882	2.986	2.958
2.882	2.986	2.958
2.882	2.986	2.958
2.882	2.984	2.958
2.882	2.984	2.958
2.884	2.984	2.958
2.884	2.984	2.958
2.884	2.984	2.958
2.884	2.982	2.958
2.884	2.982	2.962
2.88	2.982	2.962
2.88	2.982	2.962
2.88	2.982	2.962
2.88	2.98	2.962
2.88	2.98	2.956
2.878	2.98	2.956
2.878	2.98	2.956
2.878	2.98	2.956
2.878	2.99	2.956
2.878	2.99	2.948
2.88	2.99	2.948
2.88	2.99	2.948
2.88	2.99	2.948
2.88	2.992	2.948
2.88	2.992	2.958
2.888	2.992	2.958
2.888	2.992	2.958
2.888	2.992	2.958
2.888	2.986	2.958
2.888	2.986	2.968
2.88	2.986	2.968
2.88	2.986	2.968
2.88	2.986	2.968
2.88	2.992	2.968
2.88	2.992	2.968
2.872	2.992	2.968
2.872	2.992	2.968
2.872	2.992	2.968
2.872	2.99	2.968
2.872	2.99	2.96
2.876	2.99	2.96
2.876	2.99	2.96
2.876	2.99	2.96
2.876	2.984	2.96
2.876	2.984	2.968
2.882	2.984	2.968
2.882	2.984	2.968
2.882	2.984	2.968
2.882	2.98	2.968
2.882	2.98	2.968
2.872	2.98	2.968
2.872	2.98	2.968
2.872	2.98	2.968
2.872	2.974	2.968
2.872	2.974	2.966
2.874	2.974	2.966
2.874	2.974	2.966
2.874	2.974	2.966
2.874	2.976	2.966
2.874	2.976	2.96
2.874	2.976	2.96
2.874	2.976	2.96
2.874	2.976	2.96
2.874	2.98	2.96
2.874	2.98	2.952
2.866	2.98	2.952
2.866	2.98	2.952
2.866	2.98	2.952
2.866	2.988	2.952
2.866	2.988	2.948
2.868	2.988	2.948
2.868	2.988	2.948
2.868	2.988	2.948
2.868	2.986	2.948
2.868	2.986	2.942
2.866	2.986	2.942
2.866	2.986	2.942
2.866	2.986	2.942
2.866	2.984	2.942
2.866	2.984	2.946
2.866	2.984	2.946
2.866	2.984	2.946
2.866	2.984	2.946
2.866	2.984	2.946
2.866	2.984	2.954
2.872	2.984	2.954
2.872	2.984	2.954
2.872	2.984	2.954
2.872	2.988	2.954
2.872	2.988	2.952
2.866	2.988	2.952
2.866	2.988	2.952
2.866	2.988	2.952
2.866	2.986	2.952
2.866	2.986	2.95
2.87	2.986	2.95
2.87	2.986	2.95
2.87	2.986	2.95
2.87	2.986	2.95
2.87	2.986	2.936
2.882	2.986	2.936
2.882	2.986	2.958
2.882	2.986	2.958
2.882	2.986	2.958
2.882	2.986	2.958
2.878	2.986	2.958
2.878	2.986	2.952
2.878	2.986	2.952
2.878	2.988	2.952
2.878	2.988	2.952
2.87	2.988	2.952
2.87	2.988	2.936
2.87	2.988	2.936
2.87	2.992	2.936
2.87	2.992	2.936
2.878	2.992	2.936
2.878	2.992	2.93
2.878	2.992	2.93
2.878	2.988	2.93
2.878	2.988	2.93
2.878	2.988	2.93
2.878	2.988	2.936
2.878	2.988	2.936
2.878	2.986	2.936
2.878	2.986	2.936
2.874	2.986	2.936
2.874	2.986	2.928
2.874	2.986	2.928
2.874	2.984	2.928
2.874	2.984	2.928
2.874	2.984	2.928
2.874	2.984	2.938
2.874	2.984	2.938
2.874	2.988	2.938
2.874	2.988	2.938
2.872	2.988	2.938
2.872	2.988	2.932
2.872	2.988	2.932
2.872	2.978	2.932
2.872	2.978	2.932
2.88	2.978	2.932
2.88	2.978	2.936
2.88	2.978	2.936
2.88	2.976	2.936
2.88	2.976	2.936
2.876	2.976	2.936
2.876	2.976	2.944
2.876	2.976	2.944
2.876	2.976	2.944
2.876	2.976	2.944
2.878	2.976	2.944
2.878	2.976	2.942
2.878	2.976	2.942
2.878	2.974	2.942
2.878	2.974	2.942
2.88	2.974	2.942
2.88	2.974	2.928
2.88	2.974	2.928
2.88	2.974	2.928
2.88	2.974	2.928
2.884	2.974	2.928
2.884	2.974	2.93
2.884	2.974	2.93
2.884	2.974	2.93
2.884	2.974	2.93
2.876	2.974	2.93
2.876	2.974	2.928
2.876	2.974	2.928
2.876	2.974	2.928
2.876	2.974	2.928
2.88	2.974	2.928
2.88	2.974	2.93
2.88	2.974	2.93
2.88	2.974	2.93
2.88	2.974	2.93
2.886	2.974	2.93
2.886	2.974	2.93
2.886	2.974	2.93
2.886	2.972	2.93
2.886	2.972	2.93
2.888	2.972	2.93
2.888	2.972	2.912
2.888	2.972	2.912
2.888	2.97	2.912
2.888	2.97	2.912
2.878	2.97	2.912
2.878	2.97	2.908
2.878	2.992	2.908
2.878	2.992	2.908
2.878	2.992	2.908
2.882	2.992	2.908
2.882	2.992	2.904
2.882	2.988	2.904
2.882	2.988	2.904
2.882	2.988	2.904
2.882	2.988	2.904
2.882	2.988	2.91
2.882	2.988	2.91
2.882	2.988	2.91
2.882	2.988	2.91
2.88	2.988	2.91
2.88	2.988	2.914
2.88	2.99	2.914
2.88	2.99	2.914
2.88	2.99	2.914
2.884	2.99	2.914
2.884	2.99	2.93
2.884	2.99	2.93
2.884	2.988	2.93
2.884	2.988	2.93
2.878	2.988	2.93
2.878	2.988	2.926
2.878	2.988	2.926
2.878	2.992	2.926
2.878	2.992	2.926
2.876	2.992	2.926
2.876	2.992	2.912
2.876	2.992	2.912
2.876	2.986	2.912
2.876	2.986	2.912
2.88	2.986	2.912
2.88	2.986	2.922
2.88	2.986	2.922
2.88	2.988	2.922
2.88	2.988	2.922
2.874	2.988	2.922
2.874	2.988	2.922
2.874	2.988	2.922
2.874	2.984	2.922
2.874	2.984	2.922
2.88	2.984	2.922
2.88	2.984	2.928
2.88	2.984	2.928
2.88	2.982	2.928
2.88	2.982	2.928
2.88	2.982	2.928
2.88	2.982	2.928
2.88	2.982	2.928
2.88	2.988	2.928
2.88	2.988	2.928
2.876	2.988	2.928
2.876	2.988	2.926
2.876	2.988	2.926
2.876	2.988	2.926
2.876	2.988	2.926
2.876	2.988	2.926
2.876	2.988	2.936
2.876	2.988	2.936
2.876	2.982	2.936
2.876	2.982	2.936
2.878	2.982	2.936
2.878	2.982	2.926
2.878	2.982	2.926
2.878	2.986	2.926
2.878	2.986	2.926
2.878	2.986	2.926
2.878	2.986	2.924
2.878	2.986	2.924
2.878	2.988	2.924
2.878	2.988	2.924
2.87	2.988	2.924
2.87	2.988	2.926
2.87	2.988	2.926
2.87	2.818	2.926
2.87	2.818	2.926
2.866	0.192	2.926
2.866	0.192	2.928
2.866	0.192	2.928
2.866	0.192	2.928
2.866	0.192	2.928
2.866	0.192	2.928
2.866	0.192	2.922
2.866	0.192	2.922
2.866	0.192	2.922
2.866	0.192	2.922
2.856	0.192	2.922
2.856	0.192	2.922
2.856	0.192	2.922
2.856	0.192	2.922
2.856	0.192	2.922
2.858	0.192	2.922
2.858	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.86	0.192	2.928
2.86	0.192	2.928
2.86	0.192	2.928
2.86	0.192	2.928
2.86	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.858	0.192	2.928
2.852	0.19	2.928
2.852	0.19	2.928
2.852	0.19	2.928
2.852	0.19	2.928
2.852	0.19	2.928
2.856	0.19	2.928
2.856	0.19	2.922
2.856	0.19	2.922
2.856	0.19	2.922
2.856	0.19	2.922
2.854	0.19	2.922
2.854	0.19	2.922
2.854	0.19	2.922
2.854	0.19	2.922
2.854	0.19	2.922
2.858	0.19	2.922
2.858	0.19	2.928
2.858	0.19	2.928
2.858	0.19	2.928
2.858	0.19	2.928
2.854	0.188	2.928
2.854	0.188	2.93
2.854	0.188	2.93
2.854	0.188	2.198
2.854	0.188	2.198
2.852	0.19	2.198
2.852	0.19	0.182
2.852	0.19	0.182
2.852	0.19	0.182
2.852	0.19	0.182
2.858	0.19	0.182
2.858	0.19	0.182
2.858	0.19	0.182
2.858	0.19	0.182
2.858	0.19	0.182
2.854	0.188	0.184
2.854	0.188	0.184
2.854	0.188	0.184
2.854	0.188	0.184
2.854	0.188	0.184
2.85	0.19	0.184
2.85	0.19	0.184
2.85	0.19	0.184
2.85	0.19	0.184
2.85	0.19	0.184
2.848	0.19	0.184
2.848	0.19	0.184
2.848	0.19	0.184
2.848	0.19	0.184
2.848	0.19	0.184
2.852	0.188	0.182
2.852	0.188	0.182
2.852	0.188	0.182
2.852	0.188	0.182
2.852	0.188	0.182
2.854	0.186	0.182
2.854	0.186	0.182
2.854	0.186	0.182
2.854	0.186	0.182
2.854	0.186	0.182
2.848	0.19	0.182
2.848	0.19	0.182
2.848	0.19	0.182
2.848	0.19	0.182
2.848	0.19	0.182
2.844	0.188	0.184
2.844	0.188	0.184
2.844	0.188	0.184
2.844	0.188	0.184
2.844	0.188	0.184
2.846	0.188	0.182
2.846	0.188	0.182
2.846	0.188	0.182
2.846	0.188	0.182
2.846	0.188	0.182
2.862	0.188	0.184
2.862	0.188	0.184
2.862	0.188	0.184
2.862	0.188	0.184
2.862	0.188	0.184
2.864	0.19	0.182
2.864	0.19	0.182
2.864	0.19	0.182
2.864	0.19	0.182
2.864	3.07	0.182
2.858	3.07	0.184
2.858	3.116	0.184
2.858	3.116	0.184
2.858	3.116	0.184
2.858	3.116	0.184
2.852	3.116	0.182
2.852	3.116	0.182
2.852	3.116	0.182
2.852	3.02	0.182
2.852	3.02	0.182
2.852	3.02	0.184
2.852	3.02	0.184
2.852	3.02	0.184
2.852	2.99	0.184
2.852	2.99	0.184
2.854	2.99	0.182
2.854	2.99	0.182
2.854	2.99	0.182
2.854	2.976	0.182
2.854	2.976	0.182
2.854	2.976	0.182
2.854	2.976	0.182
2.854	2.976	0.182
2.854	2.972	0.182
2.854	2.972	0.182
2.85	2.972	0.184
2.85	2.972	0.184
2.85	2.972	0.184
2.85	2.968	0.184
2.85	2.968	0.184
2.854	2.968	0.182
2.854	2.968	0.182
2.854	2.968	0.182
2.854	2.964	0.182
2.854	2.964	0.182
2.856	2.964	0.182
2.856	2.964	0.182
2.856	2.964	0.182
2.856	2.966	0.182
2.856	2.966	0.182
2.858	2.966	0.182
2.858	2.966	0.182
2.858	2.966	0.182
2.858	2.966	0.182
2.858	2.966	0.182
2.856	2.966	0.182
2.856	2.966	0.184
2.856	2.966	0.184
2.856	2.962	0.184
2.856	2.962	0.184
2.862	2.962	0.184
2.862	2.962	0.182
2.862	2.962	0.182
2.862	2.958	0.182
2.862	2.958	0.182
2.868	2.958	0.184
2.868	2.958	0.184
2.868	2.958	0.184
2.868	2.958	0.184
2.868	2.958	0.184
2.864	2.958	0.18
2.864	2.958	0.18
2.316	2.958	0.18
2.316	2.96	0.18
0.196	2.96	0.18
0.196	2.96	0.182
0.196	2.96	0.182
0.196	2.96	0.182
0.196	2.964	0.182
0.198	2.964	0.182
0.198	2.964	0.184
0.198	2.964	0.184
0.198	2.964	0.184
0.198	2.958	0.184
0.196	2.958	0.184
0.196	2.958	0.182
0.196	2.958	0.182
0.196	2.958	0.182
