Regular (kW)	PermPress (kW)	Timed (kW)
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.276
0.224	0	0.276
0.224	0	0.276
0.224	0	0.276
0.224	0	0.276
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.268
0.224	0	0.268
0.224	0	0.268
0.224	0	0.268
0.224	0	0.268
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	5.972
0.224	0	5.972
0.224	0	5.972
0.224	0	5.972
0.224	0	5.972
0.224	0	5.826
0.224	0	5.826
0.224	0	5.826
0.224	0	5.826
0.224	0	5.826
0.224	0	5.76
0.224	0	5.76
0.224	0	5.76
0.224	0	5.76
0.224	0	5.76
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	5.646
0.224	0	5.646
0.224	0	5.646
0.224	0	5.646
0.224	0	5.646
0.224	0	5.65
0.224	0	5.65
0.222	0	5.65
0.222	0	5.65
0.222	0	5.65
0.222	0	5.654
0.222	0	5.654
0.226	0	5.72
0.226	0	5.72
0.226	0	5.72
0.226	0	5.72
0.226	0	5.72
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.226	0	5.722
0.226	0	5.722
0.226	0	5.722
0.226	0	5.722
0.226	0	5.722
0.224	0	2.642
0.224	0	2.642
0.224	0	2.642
0.224	0	2.642
0.224	0	2.642
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
1.154	0	0.274
1.154	0	0.274
1.154	0	0.274
1.154	0	0.274
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
1.154	0	0.272
5.758	0	0.272
5.758	0	0.272
5.758	0	0.272
5.758	0	0.272
5.758	0	0.272
5.74	0	0.272
5.74	0	0.274
5.74	0	0.274
5.74	0	0.274
5.74	0	0.274
5.74	0	0.274
5.744	0	0.27
5.744	0	0.27
5.744	0	0.27
5.744	0	0.27
5.74	0	0.27
5.74	0	0.276
5.74	0	0.276
5.74	0	0.276
5.74	0	0.276
5.74	0	0.276
5.74	0	0.274
5.74	0	0.274
5.74	0	0.274
5.74	0	0.274
0.226	0	0.274
0.226	0	0.278
0.226	0	0.278
0.226	0	0.278
0.226	0	0.278
0.226	0	1.516
0.224	0	1.516
0.224	0	1.516
0.224	0	6.014
0.224	0	6.014
0.226	0	6.014
0.226	0	6.014
0.226	0	5.832
0.226	0	5.832
0.226	0	5.832
0.226	0	5.832
0.226	0	5.832
0.226	0	5.754
0.226	0	5.754
0.226	0	5.754
0.224	0	5.754
0.224	0	5.754
0.224	0	5.728
0.224	0	5.728
0.224	0	5.728
0.222	0	5.728
0.222	0	5.728
0.222	0	5.722
0.222	0	5.722
0.222	0	5.722
0.222	0	5.722
0.222	0	5.722
0.222	0	5.72
0.222	0	5.72
0.222	0	5.72
0.226	0	5.72
0.226	0	5.72
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.728
0.224	0	5.728
0.224	0	5.728
0.224	0	5.728
0.224	0	5.728
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.714
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	5.722
0.224	0	0.276
0.224	0	0.276
0.224	0	0.276
0.224	0	0.276
0.226	0	0.276
0.226	0	0.274
0.226	0	0.274
0.226	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.274
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.272
0.224	0	0.27
0.224	0	0.27
0.224	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.27
0.226	0	0.27
0.228	0	0.27
0.228	0	0.27
0.228	0	0.272
0.228	0	0.272
0.228	0	0.272
0.756	0	0.272
0.756	0	0.272
0.756	0	0.268
5.994	0	0.268
5.994	0	6.04
5.994	0	6.04
5.994	0	6.04
5.994	0	6.04
5.804	0	6.04
5.804	0	5.808
5.804	0	5.808
5.804	0	5.808
5.804	0	5.808
5.748	0	5.808
5.748	0	5.744
5.748	0	5.744
5.748	0	5.744
5.748	0	5.744
5.736	0	5.744
5.736	0	5.726
5.736	0	5.726
5.736	0	5.726
5.736	0	5.726
5.736	0	5.726
5.736	0	5.722
5.736	0	5.722
5.736	0	5.722
5.736	0	5.722
5.734	0	5.722
5.734	0	5.714
5.734	0	5.714
5.734	0	5.714
5.734	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.714
0.226	0	5.716
0.226	0	5.716
0.222	0	5.716
0.222	0	5.716
0.222	0	5.716
0.222	0	5.706
0.222	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	5.706
0.224	0	0.272
0.224	0	0.272
